Date,Open,High,Low,Close,Adj Close,Volume
"Nov 22, 2021","4,712.00","4,743.83","4,682.17","4,682.94","4,682.94","3,206,280,000"
"Nov 19, 2021","4,708.44","4,717.75","4,694.22","4,697.96","4,697.96","3,265,600,000"
"Nov 18, 2021","4,700.72","4,708.80","4,672.78","4,704.54","4,704.54","3,335,620,000"
"Nov 17, 2021","4,701.50","4,701.50","4,684.41","4,688.67","4,688.67","3,221,250,000"
"Nov 16, 2021","4,679.42","4,714.95","4,679.42","4,700.90","4,700.90","2,838,210,000"
"Nov 15, 2021","4,689.30","4,697.42","4,672.86","4,682.80","4,682.80","2,618,980,000"
"Nov 12, 2021","4,655.24","4,688.47","4,650.77","4,682.85","4,682.85","2,865,790,000"
"Nov 11, 2021","4,659.39","4,664.55","4,648.31","4,649.27","4,649.27","2,623,140,000"
"Nov 10, 2021","4,670.26","4,684.85","4,630.86","4,646.71","4,646.71","3,581,630,000"
"Nov 09, 2021","4,707.25","4,708.53","4,670.87","4,685.25","4,685.25","3,110,230,000"
"Nov 08, 2021","4,701.48","4,714.92","4,694.39","4,701.70","4,701.70","3,465,720,000"
"Nov 05, 2021","4,699.26","4,718.50","4,681.32","4,697.53","4,697.53","3,491,150,000"
"Nov 04, 2021","4,662.93","4,683.00","4,662.59","4,680.06","4,680.06","3,332,940,000"
"Nov 03, 2021","4,630.65","4,663.46","4,621.19","4,660.57","4,660.57","3,339,440,000"
"Nov 02, 2021","4,613.34","4,635.15","4,613.34","4,630.65","4,630.65","3,309,690,000"
"Nov 01, 2021","4,610.62","4,620.34","4,595.06","4,613.67","4,613.67","2,924,000,000"
"Oct 29, 2021","4,572.87","4,608.08","4,567.59","4,605.38","4,605.38","3,632,260,000"
"Oct 28, 2021","4,562.84","4,597.55","4,562.84","4,596.42","4,596.42","3,197,560,000"
"Oct 27, 2021","4,580.22","4,584.57","4,551.66","4,551.68","4,551.68","3,259,510,000"
"Oct 26, 2021","4,578.69","4,598.53","4,569.17","4,574.79","4,574.79","2,866,500,000"
"Oct 25, 2021","4,553.69","4,572.62","4,537.36","4,566.48","4,566.48","3,250,210,000"
"Oct 22, 2021","4,546.12","4,559.67","4,524.00","4,544.90","4,544.90","3,062,810,000"
"Oct 21, 2021","4,532.24","4,551.44","4,526.89","4,549.78","4,549.78","3,016,950,000"
"Oct 20, 2021","4,524.42","4,540.87","4,524.40","4,536.19","4,536.19","2,671,560,000"
"Oct 19, 2021","4,497.34","4,520.40","4,496.41","4,519.63","4,519.63","2,531,210,000"
"Oct 18, 2021","4,463.72","4,488.75","4,447.47","4,486.46","4,486.46","2,683,540,000"
"Oct 15, 2021","4,447.69","4,475.82","4,447.69","4,471.37","4,471.37","3,000,560,000"
"Oct 14, 2021","4,386.75","4,439.73","4,386.75","4,438.26","4,438.26","2,642,920,000"
"Oct 13, 2021","4,358.01","4,372.87","4,329.92","4,363.80","4,363.80","2,926,460,000"
"Oct 12, 2021","4,368.31","4,374.89","4,342.09","4,350.65","4,350.65","2,608,150,000"
"Oct 11, 2021","4,385.44","4,415.88","4,360.59","4,361.19","4,361.19","2,580,000,000"
"Oct 08, 2021","4,406.51","4,412.02","4,386.22","4,391.34","4,391.34","2,401,890,000"
"Oct 07, 2021","4,383.73","4,429.97","4,383.73","4,399.76","4,399.76","3,096,080,000"
"Oct 06, 2021","4,319.57","4,365.57","4,290.49","4,363.55","4,363.55","3,219,590,000"
"Oct 05, 2021","4,309.87","4,369.23","4,309.87","4,345.72","4,345.72","2,967,400,000"
"Oct 04, 2021","4,348.84","4,355.51","4,278.94","4,300.46","4,300.46","3,110,560,000"
"Oct 01, 2021","4,317.16","4,375.19","4,288.52","4,357.04","4,357.04","3,148,980,000"
"Sep 30, 2021","4,370.67","4,382.55","4,306.24","4,307.54","4,307.54","3,123,770,000"
"Sep 29, 2021","4,362.41","4,385.57","4,355.08","4,359.46","4,359.46","2,753,800,000"
"Sep 28, 2021","4,419.54","4,419.54","4,346.33","4,352.63","4,352.63","3,495,970,000"
"Sep 27, 2021","4,442.12","4,457.30","4,436.19","4,443.11","4,443.11","3,032,870,000"
"Sep 24, 2021","4,438.04","4,463.12","4,430.27","4,455.48","4,455.48","2,772,090,000"
"Sep 23, 2021","4,406.75","4,465.40","4,406.75","4,448.98","4,448.98","2,833,290,000"
"Sep 22, 2021","4,367.43","4,416.75","4,367.43","4,395.64","4,395.64","3,273,670,000"
"Sep 21, 2021","4,374.45","4,394.87","4,347.96","4,354.19","4,354.19","3,044,300,000"
"Sep 20, 2021","4,402.95","4,402.95","4,305.91","4,357.73","4,357.73","3,773,680,000"
"Sep 17, 2021","4,469.74","4,471.52","4,427.76","4,432.99","4,432.99","5,622,210,000"
"Sep 16, 2021","4,477.09","4,485.87","4,443.80","4,473.75","4,473.75","3,321,030,000"
"Sep 15, 2021","4,447.49","4,486.87","4,438.37","4,480.70","4,480.70","3,154,760,000"
"Sep 14, 2021","4,479.33","4,485.68","4,435.46","4,443.05","4,443.05","2,568,730,000"
"Sep 13, 2021","4,474.81","4,492.99","4,445.70","4,468.73","4,468.73","3,096,390,000"
"Sep 10, 2021","4,506.92","4,520.47","4,457.66","4,458.58","4,458.58","2,851,140,000"
"Sep 09, 2021","4,513.02","4,529.90","4,492.07","4,493.28","4,493.28","3,035,300,000"
"Sep 08, 2021","4,518.09","4,521.79","4,493.95","4,514.07","4,514.07","2,808,480,000"
"Sep 07, 2021","4,535.38","4,535.38","4,513.00","4,520.03","4,520.03","3,098,870,000"
"Sep 03, 2021","4,532.42","4,541.45","4,521.30","4,535.43","4,535.43","2,609,660,000"
"Sep 02, 2021","4,534.48","4,545.85","4,524.66","4,536.95","4,536.95","2,897,010,000"
"Sep 01, 2021","4,528.80","4,537.11","4,522.02","4,524.09","4,524.09","3,101,830,000"
"Aug 31, 2021","4,529.75","4,531.39","4,515.80","4,522.68","4,522.68","3,090,380,000"
"Aug 30, 2021","4,513.76","4,537.36","4,513.76","4,528.79","4,528.79","2,557,300,000"
"Aug 27, 2021","4,474.10","4,513.33","4,474.10","4,509.37","4,509.37","2,862,360,000"
"Aug 26, 2021","4,493.75","4,495.90","4,468.99","4,470.00","4,470.00","2,704,600,000"
"Aug 25, 2021","4,490.45","4,501.71","4,485.66","4,496.19","4,496.19","2,554,680,000"
"Aug 24, 2021","4,484.40","4,492.81","4,482.28","4,486.23","4,486.23","3,037,770,000"
"Aug 23, 2021","4,450.29","4,489.88","4,450.29","4,479.53","4,479.53","2,965,520,000"
"Aug 20, 2021","4,410.56","4,444.35","4,406.80","4,441.67","4,441.67","2,867,770,000"
"Aug 19, 2021","4,382.44","4,418.61","4,367.73","4,405.80","4,405.80","3,120,840,000"
"Aug 18, 2021","4,440.94","4,454.32","4,397.59","4,400.27","4,400.27","2,965,210,000"
"Aug 17, 2021","4,462.12","4,462.12","4,417.83","4,448.08","4,448.08","2,884,000,000"
"Aug 16, 2021","4,461.65","4,480.26","4,437.66","4,479.71","4,479.71","2,707,170,000"
"Aug 13, 2021","4,464.84","4,468.37","4,460.82","4,468.00","4,468.00","2,371,630,000"
"Aug 12, 2021","4,446.08","4,461.77","4,435.96","4,460.83","4,460.83","2,543,860,000"
"Aug 11, 2021","4,442.18","4,449.44","4,436.42","4,442.41","4,442.41","2,803,060,000"
"Aug 10, 2021","4,435.79","4,445.21","4,430.03","4,436.75","4,436.75","3,219,840,000"
"Aug 09, 2021","4,437.77","4,439.39","4,424.74","4,432.35","4,432.35","2,779,880,000"
"Aug 06, 2021","4,429.07","4,440.82","4,429.07","4,436.52","4,436.52","2,839,970,000"
"Aug 05, 2021","4,408.86","4,429.76","4,408.86","4,429.10","4,429.10","2,734,220,000"
"Aug 04, 2021","4,415.95","4,416.17","4,400.23","4,402.66","4,402.66","3,382,620,000"
"Aug 03, 2021","4,392.74","4,423.79","4,373.00","4,423.15","4,423.15","3,305,340,000"
"Aug 02, 2021","4,406.86","4,422.18","4,384.81","4,387.16","4,387.16","2,919,940,000"
"Jul 30, 2021","4,395.12","4,412.25","4,389.65","4,395.26","4,395.26","2,861,600,000"
"Jul 29, 2021","4,403.59","4,429.97","4,403.59","4,419.15","4,419.15","2,815,510,000"
"Jul 28, 2021","4,402.95","4,415.47","4,387.01","4,400.64","4,400.64","3,215,130,000"
"Jul 27, 2021","4,416.38","4,416.38","4,372.51","4,401.46","4,401.46","3,381,080,000"
"Jul 26, 2021","4,409.58","4,422.73","4,405.45","4,422.30","4,422.30","2,679,110,000"
"Jul 23, 2021","4,381.20","4,415.18","4,381.20","4,411.79","4,411.79","3,490,730,000"
"Jul 22, 2021","4,361.27","4,369.87","4,350.06","4,367.48","4,367.48","2,907,910,000"
"Jul 21, 2021","4,331.13","4,359.70","4,331.13","4,358.69","4,358.69","3,078,550,000"
"Jul 20, 2021","4,265.11","4,336.84","4,262.05","4,323.06","4,323.06","3,634,190,000"
"Jul 19, 2021","4,296.40","4,296.40","4,233.13","4,258.49","4,258.49","4,155,790,000"
"Jul 16, 2021","4,367.43","4,375.09","4,322.53","4,327.16","4,327.16","3,165,160,000"
"Jul 15, 2021","4,369.02","4,369.02","4,340.70","4,360.03","4,360.03","3,226,930,000"
"Jul 14, 2021","4,380.11","4,393.68","4,362.36","4,374.30","4,374.30","3,213,870,000"
"Jul 13, 2021","4,381.07","4,392.37","4,366.92","4,369.21","4,369.21","3,166,900,000"
"Jul 12, 2021","4,372.41","4,386.68","4,364.03","4,384.63","4,384.63","2,983,980,000"
"Jul 09, 2021","4,329.38","4,371.60","4,329.38","4,369.55","4,369.55","2,738,280,000"
"Jul 08, 2021","4,321.07","4,330.88","4,289.37","4,320.82","4,320.82","3,393,780,000"
"Jul 07, 2021","4,351.01","4,361.88","4,329.79","4,358.13","4,358.13","3,243,900,000"
"Jul 06, 2021","4,356.46","4,356.46","4,314.37","4,343.54","4,343.54","3,437,900,000"
"Jul 02, 2021","4,326.60","4,355.43","4,326.60","4,352.34","4,352.34","2,628,550,000"
"Jul 01, 2021","4,300.73","4,320.66","4,300.73","4,319.94","4,319.94","3,077,580,000"
"Jun 30, 2021","4,290.65","4,302.43","4,287.96","4,297.50","4,297.50","3,687,880,000"
"Jun 29, 2021","4,293.21","4,300.52","4,287.04","4,291.80","4,291.80","3,049,560,000"
"Jun 28, 2021","4,284.90","4,292.14","4,274.67","4,290.61","4,290.61","3,415,610,000"
"Jun 25, 2021","4,274.45","4,286.12","4,271.16","4,280.70","4,280.70","6,248,390,000"
"Jun 24, 2021","4,256.97","4,271.28","4,256.97","4,266.49","4,266.49","3,141,680,000"
"Jun 23, 2021","4,249.27","4,256.60","4,241.43","4,241.84","4,241.84","3,172,440,000"
"Jun 22, 2021","4,224.61","4,255.84","4,217.27","4,246.44","4,246.44","3,208,760,000"
"Jun 21, 2021","4,173.40","4,226.24","4,173.40","4,224.79","4,224.79","3,391,740,000"
"Jun 18, 2021","4,204.78","4,204.78","4,164.40","4,166.45","4,166.45","6,084,980,000"
"Jun 17, 2021","4,220.37","4,232.29","4,196.05","4,221.86","4,221.86","3,952,110,000"
"Jun 16, 2021","4,248.87","4,251.89","4,202.45","4,223.70","4,223.70","3,722,050,000"
"Jun 15, 2021","4,255.28","4,257.16","4,238.35","4,246.59","4,246.59","3,578,450,000"
"Jun 14, 2021","4,248.31","4,255.59","4,234.07","4,255.15","4,255.15","3,612,050,000"
"Jun 11, 2021","4,242.90","4,248.38","4,232.25","4,247.44","4,247.44","3,204,280,000"
"Jun 10, 2021","4,228.56","4,249.74","4,220.34","4,239.18","4,239.18","3,502,480,000"
"Jun 09, 2021","4,232.99","4,237.09","4,218.74","4,219.55","4,219.55","3,902,870,000"
"Jun 08, 2021","4,233.81","4,236.74","4,208.41","4,227.26","4,227.26","3,943,870,000"
"Jun 07, 2021","4,229.34","4,232.34","4,215.66","4,226.52","4,226.52","3,835,570,000"
"Jun 04, 2021","4,206.05","4,233.45","4,206.05","4,229.89","4,229.89","3,487,070,000"
"Jun 03, 2021","4,191.43","4,204.39","4,167.93","4,192.85","4,192.85","4,579,450,000"
"Jun 02, 2021","4,206.82","4,217.37","4,198.27","4,208.12","4,208.12","4,860,930,000"
"Jun 01, 2021","4,216.52","4,234.12","4,197.59","4,202.04","4,202.04","4,122,960,000"
"May 28, 2021","4,210.77","4,218.36","4,203.57","4,204.11","4,204.11","4,199,270,000"
"May 27, 2021","4,201.94","4,213.38","4,197.78","4,200.88","4,200.88","5,201,110,000"
"May 26, 2021","4,191.59","4,202.61","4,184.11","4,195.99","4,195.99","3,674,490,000"
"May 25, 2021","4,205.94","4,213.42","4,182.52","4,188.13","4,188.13","3,420,870,000"
"May 24, 2021","4,170.16","4,209.52","4,170.16","4,197.05","4,197.05","2,947,400,000"
"May 21, 2021","4,168.61","4,188.72","4,151.72","4,155.86","4,155.86","3,344,620,000"
"May 20, 2021","4,121.97","4,172.80","4,121.97","4,159.12","4,159.12","3,019,060,000"
"May 19, 2021","4,098.45","4,116.93","4,061.41","4,115.68","4,115.68","3,485,550,000"
"May 18, 2021","4,165.94","4,169.15","4,125.99","4,127.83","4,127.83","3,559,790,000"
"May 17, 2021","4,169.92","4,171.92","4,142.69","4,163.29","4,163.29","3,307,130,000"
"May 14, 2021","4,129.58","4,183.13","4,129.58","4,173.85","4,173.85","3,251,920,000"
"May 13, 2021","4,074.99","4,131.58","4,074.99","4,112.50","4,112.50","3,687,780,000"
"May 12, 2021","4,130.55","4,134.73","4,056.88","4,063.04","4,063.04","3,735,080,000"
"May 11, 2021","4,150.34","4,162.04","4,111.53","4,152.10","4,152.10","3,593,110,000"
"May 10, 2021","4,228.29","4,236.39","4,188.13","4,188.43","4,188.43","3,678,970,000"
"May 07, 2021","4,210.34","4,238.04","4,201.64","4,232.60","4,232.60","4,013,060,000"
"May 06, 2021","4,169.14","4,202.70","4,147.33","4,201.62","4,201.62","4,504,860,000"
"May 05, 2021","4,177.06","4,187.72","4,160.94","4,167.59","4,167.59","4,029,050,000"
"May 04, 2021","4,179.04","4,179.04","4,128.59","4,164.66","4,164.66","4,441,080,000"
"May 03, 2021","4,191.98","4,209.39","4,188.03","4,192.66","4,192.66","4,061,170,000"
"Apr 30, 2021","4,198.10","4,198.10","4,174.85","4,181.17","4,181.17","4,273,680,000"
"Apr 29, 2021","4,206.14","4,218.78","4,176.81","4,211.47","4,211.47","4,288,940,000"
"Apr 28, 2021","4,185.14","4,201.53","4,181.78","4,183.18","4,183.18","3,772,390,000"
"Apr 27, 2021","4,188.25","4,193.35","4,176.22","4,186.72","4,186.72","3,703,240,000"
"Apr 26, 2021","4,185.03","4,194.19","4,182.36","4,187.62","4,187.62","3,738,920,000"
"Apr 23, 2021","4,138.78","4,194.17","4,138.78","4,180.17","4,180.17","3,568,080,000"
"Apr 22, 2021","4,170.46","4,179.57","4,123.69","4,134.98","4,134.98","4,235,040,000"
"Apr 21, 2021","4,128.42","4,175.02","4,126.35","4,173.42","4,173.42","3,865,820,000"
"Apr 20, 2021","4,159.18","4,159.18","4,118.38","4,134.94","4,134.94","4,338,230,000"
"Apr 19, 2021","4,179.80","4,180.81","4,150.47","4,163.26","4,163.26","3,788,020,000"
"Apr 16, 2021","4,174.14","4,191.31","4,170.75","4,185.47","4,185.47","4,157,430,000"
"Apr 15, 2021","4,139.76","4,173.49","4,139.76","4,170.42","4,170.42","4,027,680,000"
"Apr 14, 2021","4,141.58","4,151.69","4,120.87","4,124.66","4,124.66","3,976,540,000"
"Apr 13, 2021","4,130.10","4,148.00","4,124.43","4,141.59","4,141.59","3,728,440,000"
"Apr 12, 2021","4,124.71","4,131.76","4,114.82","4,127.99","4,127.99","3,578,500,000"
"Apr 09, 2021","4,096.11","4,129.48","4,095.51","4,128.80","4,128.80","3,634,910,000"
"Apr 08, 2021","4,089.95","4,098.19","4,082.54","4,097.17","4,097.17","3,901,910,000"
"Apr 07, 2021","4,074.29","4,083.13","4,068.31","4,079.95","4,079.95","4,112,640,000"
"Apr 06, 2021","4,075.57","4,086.23","4,068.14","4,073.94","4,073.94","4,027,880,000"
"Apr 05, 2021","4,034.44","4,083.42","4,034.44","4,077.91","4,077.91","3,999,760,000"
"Apr 01, 2021","3,992.78","4,020.63","3,992.78","4,019.87","4,019.87","4,151,240,000"
"Mar 31, 2021","3,967.25","3,994.41","3,966.98","3,972.89","3,972.89","4,564,980,000"
"Mar 30, 2021","3,963.34","3,968.01","3,944.35","3,958.55","3,958.55","4,103,570,000"
"Mar 29, 2021","3,969.31","3,981.83","3,943.25","3,971.09","3,971.09","4,619,840,000"
"Mar 26, 2021","3,917.12","3,978.19","3,917.12","3,974.54","3,974.54","5,467,850,000"
"Mar 25, 2021","3,879.34","3,919.54","3,853.50","3,909.52","3,909.52","4,940,800,000"
"Mar 24, 2021","3,919.93","3,942.08","3,889.07","3,889.14","3,889.14","4,766,990,000"
"Mar 23, 2021","3,937.60","3,949.13","3,901.57","3,910.52","3,910.52","4,645,340,000"
"Mar 22, 2021","3,916.48","3,955.31","3,914.16","3,940.59","3,940.59","4,311,380,000"
"Mar 19, 2021","3,913.14","3,930.12","3,886.75","3,913.10","3,913.10","7,725,050,000"
"Mar 18, 2021","3,953.50","3,969.62","3,910.86","3,915.46","3,915.46","4,043,170,000"
"Mar 17, 2021","3,949.57","3,983.87","3,935.74","3,974.12","3,974.12","4,541,620,000"
"Mar 16, 2021","3,973.59","3,981.04","3,953.44","3,962.71","3,962.71","4,604,870,000"
"Mar 15, 2021","3,942.96","3,970.08","3,923.54","3,968.94","3,968.94","4,882,190,000"
"Mar 12, 2021","3,924.52","3,944.99","3,915.21","3,943.34","3,943.34","4,469,240,000"
"Mar 11, 2021","3,915.54","3,960.27","3,915.54","3,939.34","3,939.34","5,300,010,000"
"Mar 10, 2021","3,891.99","3,917.35","3,885.73","3,898.81","3,898.81","5,827,250,000"
"Mar 09, 2021","3,851.93","3,903.76","3,851.93","3,875.44","3,875.44","5,496,340,000"
"Mar 08, 2021","3,844.39","3,881.06","3,819.25","3,821.35","3,821.35","5,852,240,000"
"Mar 05, 2021","3,793.58","3,851.69","3,730.19","3,841.94","3,841.94","6,842,570,000"
"Mar 04, 2021","3,818.53","3,843.67","3,723.34","3,768.47","3,768.47","7,142,240,000"
"Mar 03, 2021","3,863.99","3,874.47","3,818.86","3,819.72","3,819.72","6,150,790,000"
"Mar 02, 2021","3,903.64","3,906.41","3,868.57","3,870.29","3,870.29","5,493,690,000"
"Mar 01, 2021","3,842.51","3,914.50","3,842.51","3,901.82","3,901.82","5,071,540,000"
"Feb 26, 2021","3,839.66","3,861.08","3,789.54","3,811.15","3,811.15","6,512,950,000"
"Feb 25, 2021","3,915.80","3,925.02","3,814.04","3,829.34","3,829.34","6,513,060,000"
"Feb 24, 2021","3,873.71","3,928.65","3,859.60","3,925.43","3,925.43","5,942,350,000"
"Feb 23, 2021","3,857.07","3,895.98","3,805.59","3,881.37","3,881.37","6,280,650,000"
"Feb 22, 2021","3,885.55","3,902.92","3,874.71","3,876.50","3,876.50","5,870,190,000"
"Feb 19, 2021","3,921.16","3,930.41","3,903.07","3,906.71","3,906.71","4,823,940,000"
"Feb 18, 2021","3,915.86","3,921.98","3,885.03","3,913.97","3,913.97","4,773,430,000"
"Feb 17, 2021","3,918.50","3,933.61","3,900.43","3,931.33","3,931.33","4,718,280,000"
"Feb 16, 2021","3,939.61","3,950.43","3,923.85","3,932.59","3,932.59","5,037,360,000"
"Feb 12, 2021","3,911.65","3,937.23","3,905.78","3,934.83","3,934.83","4,119,260,000"
"Feb 11, 2021","3,916.40","3,925.99","3,890.39","3,916.38","3,916.38","4,570,080,000"
"Feb 10, 2021","3,920.78","3,931.50","3,884.94","3,909.88","3,909.88","4,815,380,000"
"Feb 09, 2021","3,910.49","3,918.35","3,902.64","3,911.23","3,911.23","4,554,610,000"
"Feb 08, 2021","3,892.59","3,915.77","3,892.59","3,915.59","3,915.59","4,635,030,000"
"Feb 05, 2021","3,878.30","3,894.56","3,874.93","3,886.83","3,886.83","4,838,580,000"
"Feb 04, 2021","3,836.66","3,872.42","3,836.66","3,871.74","3,871.74","4,856,670,000"
"Feb 03, 2021","3,840.27","3,847.51","3,816.68","3,830.17","3,830.17","4,846,900,000"
"Feb 02, 2021","3,791.84","3,843.09","3,791.84","3,826.31","3,826.31","5,495,370,000"
"Feb 01, 2021","3,731.17","3,784.32","3,725.62","3,773.86","3,773.86","5,392,870,000"
"Jan 29, 2021","3,778.05","3,778.05","3,694.12","3,714.24","3,714.24","6,612,570,000"
"Jan 28, 2021","3,755.75","3,830.50","3,755.75","3,787.38","3,787.38","6,937,960,000"
"Jan 27, 2021","3,836.83","3,836.83","3,732.48","3,750.77","3,750.77","9,878,040,000"
"Jan 26, 2021","3,862.96","3,870.90","3,847.78","3,849.62","3,849.62","6,029,090,000"
"Jan 25, 2021","3,851.68","3,859.23","3,797.16","3,855.36","3,855.36","6,955,860,000"
"Jan 22, 2021","3,844.24","3,852.31","3,830.41","3,841.47","3,841.47","5,080,430,000"
"Jan 21, 2021","3,857.46","3,861.45","3,845.05","3,853.07","3,853.07","4,484,460,000"
"Jan 20, 2021","3,816.22","3,859.75","3,816.22","3,851.85","3,851.85","4,551,790,000"
"Jan 19, 2021","3,781.88","3,804.53","3,780.37","3,798.91","3,798.91","4,982,940,000"
"Jan 15, 2021","3,788.73","3,788.73","3,749.62","3,768.25","3,768.25","5,353,060,000"
"Jan 14, 2021","3,814.98","3,823.60","3,792.86","3,795.54","3,795.54","5,180,140,000"
"Jan 13, 2021","3,802.23","3,820.96","3,791.50","3,809.84","3,809.84","4,590,420,000"
"Jan 12, 2021","3,801.62","3,810.78","3,776.51","3,801.19","3,801.19","4,977,210,000"
"Jan 11, 2021","3,803.14","3,817.86","3,789.02","3,799.61","3,799.61","4,450,500,000"
"Jan 08, 2021","3,815.05","3,826.69","3,783.60","3,824.68","3,824.68","4,764,180,000"
"Jan 07, 2021","3,764.71","3,811.55","3,764.71","3,803.79","3,803.79","5,080,870,000"
"Jan 06, 2021","3,712.20","3,783.04","3,705.34","3,748.14","3,748.14","6,049,970,000"
"Jan 05, 2021","3,698.02","3,737.83","3,695.07","3,726.86","3,726.86","4,582,620,000"
"Jan 04, 2021","3,764.61","3,769.99","3,662.71","3,700.65","3,700.65","5,006,680,000"
